"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"IL PORTICELLO","Alloggi agrituristici","","3","3","8","CONTRADA MARINARA 1¿ STRADA SX","","74017","073019","Mottola","TA","","","099.8867776","","","agriturilporticello@virgilio.it","01/01/2015-31/12/2015","Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Ristorante-Bar-Punto ristoro","Aria condizionata indipendente-Riscaldamento indipendente","camera-doppia-bagno (50-50)#camera-tripla-bagno (60-60)#mezza-pensione-bagno (40-40)#pasto-cena (-25)#pasto-pranzo (-30)#pensione-completa-bagno (60-60)","camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"SILVANA","Alberghi","3 stelle","12","13","21","VIALE UNIT¿ D'ITALIA","","74121","073027","Taranto","TA","40.4283143","17.258017999999993","0997761070","0997728209","www.hotelsilvana.it","info@hotelsilvana.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Camere fumatori-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Rscaldamento centralizzato-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (70-120)#camera-singola-bagno (50-100)#doppia-uso-singola-bagno (60-100)#pasto-colazione (5-5)","camera-doppia-bagno (70-120)#camera-singola-bagno (45-60)#doppia-uso-singola-bagno (50-80)#pasto-colazione (-)","","","","",""
"COSTAVERDE","Alberghi","2 stelle","20","22","38","VIA PIETRELCINA","","71013","071046","San Giovanni Rotondo","FG","","","0882412962","0882418041","www.hotelcostaverde.org","info@hotelcostaverde.org","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Ascensore-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Tv-Riscaldamento-Telefono","camera-doppia-bagno (60-60)#camera-singola-bagno (45-45)#mezza-pensione-bagno (45-60)#pasto-cena (16-16)#pasto-pranzo (16-16)#pensione-completa-bagno (55-65)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"APPRODO CENTRO ACCOGLIENZA","Alberghi","2 stelle","129","157","388","VIALE PADRE PIO","","71013","071046","San Giovanni Rotondo","FG","","","0882412996","0882412996","www.approdocentroaccoglienza.it","info@approdocentroaccoglienza.it","01/01/2015-31/12/2015","","","camera-doppia-bagno (74-74)#camera-quadrupla-bagno (138-138)#camera-singola-bagno (47-47)#camera-tripla-bagno (106-106)#mezza-pensione-bagno (39-60)#pasto-cena (16-16)#pasto-colazione (3-3)#pasto-pranzo (16-16)#pensione-completa-bagno (45-65)","camera-doppia-bagno (0-0)#camera-quadrupla-bagno (0-0)#camera-singola-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"PERLA DEL GARGANO","Alberghi","3 stelle","84","96","143","VIALE A. MORO","","71013","071046","San Giovanni Rotondo","FG","","","0882456485","0882453153","www.laperladelgargano.it","info@laperladelgargano.it","01/01/2015-31/12/2015","Ristorante-Bar-Camere fumatori-Ascensore","Aria condizionata centralizzata-Rscaldamento centralizzato-Riscaldamento-Telefono","camera-doppia-bagno (60-90)#camera-singola-bagno (40-60)#camera-tripla-bagno (65-98)#mezza-pensione (44-90)#pasto-cena (15-18)#pasto-pranzo (15-18)#pensione-completa-bagno (47-98)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"LEON","Alberghi","3 stelle","21","21","40","TRATTURO DELLE CORSE ","","71013","071046","San Giovanni Rotondo","FG","","","0882457827","0882455896","www.leon-hotel.it","info@leon-hotel.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Rscaldamento centralizzato-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (42-65)#camera-singola-bagno (33-48)#mezza-pensione-bagno (36-48)#pasto-cena (15-15)#pasto-colazione (4-4)#pasto-pranzo (15-15)#pensione-completa-bagno (51-63)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"ANTICA MASSERIA JORCHE","Alloggi agrituristici","","9","9","18","CONTRADA JORCHE","","74020","073028","Torricella","TA","40.773260900297196","17.327327728271484","0999573355","","www.jorche.it","jorche@jorche.it","01/04/2015-31/10/2015","Ristorante-Parcheggio Coperto / Scoperto","Aria condizionata indipendente-Frigobar","camera-doppia-bagno (120-150)#pasto-cena (-25)","camera-doppia-bagno (60-100)#pasto-cena (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/512305/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/512305/fileFoto2","","",""
"CHARLIE","Case e appartamenti","","13","13","52","SAN PIETRO IN BEVAGNA - VIA BORRACO","","74024","073012","Manduria","TA","40.3066327","17.672095300000023","099.9728707","","www.charliehotel.it","charliehotel@charliehotel.it","","","","ua-bilocale-due-sett (850-1500)#ua-bilocale-mese (1950-2550)#ua-bilocale-sett (400-800)","ua-bilocale-due-sett (500-750)#ua-bilocale-mese (900-1000)#ua-bilocale-sett (250-400)","http://www.agenziapugliapromozione.it/portal/documents/ddl/302838/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/302838/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/302838/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/302838/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/302838/fileFoto5"
"PARCO VERDE","Alberghi","3 stelle","13","13","23","VIALE DELLE ROSE ","","74026","073022","Pulsano","TA","","","099 - 5333092","","www.edenpark.it","infoeden@edenpark.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Camere fumatori-Deposito bagagli-Parcheggio Coperto / Scoperto","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (95-130)#camera-singola-bagno (65-90)#pasto-cena (20-25)#pasto-pranzo (20-25)","camera-doppia-bagno (70-75)#camera-singola-bagno (50-55)#pasto-cena (-)#pasto-pranzo (-)","","","","",""
"EDEN PARK","Villaggi turistici","3 stelle","19","19","38","VIALE DELLE ROSE","","74026","073022","Pulsano","TA","","","0995333091","0995333791","www.edenpark.it","infoeden@edenpark.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento-Angolo cottura","supplemento-pulizia-bilocale (50-50)#ua-bilocale (93-107)","supplemento-pulizia-bilocale (-)#ua-bilocale (50-57)","","","","",""
"TENUTA DEL BARCO","Alloggi agrituristici","","6","6","20","CTR.MORRONI -AGRO DI LIZZANO","","74123","073027","Taranto","TA","","","0995333051","0999871429","www.tenutadelbarco.com","info@tenutadelbarco.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Camere fumatori-Deposito bagagli-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura","camera-doppia-bagno (145-205)#camera-tripla-bagno (150-215)#mezza-pensione-bagno (30-30)#pensione-completa-bagno (50-50)","camera-doppia-bagno (95-150)#camera-tripla-bagno (100-160)#mezza-pensione-bagno (26-26)#pensione-completa-bagno (50-50)","","","","",""
"LA SCOGLIERA","Case e appartamenti","","11","11","26","LUNGOMARE JONIO ","","74024","073012","Manduria","TA","","","0999718782","","www.lascoglieratorrecolimena.it","lascogliera@libero.it","","","","ua-bilocale-mese (2300-2600)#ua-bilocale-sett (600-800)","ua-bilocale-mese (1210-1430)#ua-bilocale-sett (308-385)","","","","",""
"BOSCO DI MUDONATO","Alloggi agrituristici","","3","5","12","VIA PER SALICE KM 3","Contrada Mudonato","74020","073001","Avetrana","TA","","","3401238531","","","dani.mannarini@gmail.com","01/06/2015-30/09/2015","Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Angolo cottura","supplemento-posto-letto-agg (12-12)#ua-monolocale-sett (850-850)#ua-plurilocale-sett (900-900)","supplemento-posto-letto-agg (-)#ua-monolocale-sett (650-650)#ua-plurilocale-sett (700-700)","","","","",""
"CARRIERI","Case e appartamenti","","4","4","20","VIALE DEL POSTO -  CONTR.FONTANA","","74026","073022","Pulsano","TA","","","0995333281-2","","www.residencecarrieri.it","residencecarrieri@libero.it","01/01/2015-31/12/2015","Reception 24h-Cassaforte / cassette di sicurezza-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Riscaldamento-Telefono-Angolo cottura","ua-plurilocale-sett (800-1450)","ua-plurilocale-sett (500-1060)","","","","",""
"EDEN","Alberghi","3 stelle","60","60","120","VIA GARIBALDI","","71040","071026","Isole Tremiti","FG","","","0882463211","","www.hoteledentremiti.it","info@hoteledentremiti.it","15/05/2015-20/09/2015","Ristorante-Bar-Reception 24h-Ascensore-Deposito bagagli-Quotidiani-Accesso animali piccola taglia","Aria condizionata indipendente-Tv-Frigobar-Telefono","camera-doppia-bagno (59-249)#camera-singola-bagno (49-99)#pasto-cena (15-25)","camera-doppia-bagno (59-249)#camera-singola-bagno (49-99)#pasto-cena (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/196771/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/196771/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/196771/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/196771/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/196771/fileFoto5"
"GABBIANO","Alberghi","3 stelle","15","18","25","PIAZZA LUCIO DALLA","","71040","071026","Isole Tremiti","FG","","","0882463410","","www.hotel-gabbiano.com","info@hotel-gabbiano.com","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Deposito bagagli-Cassaforte / cassette di sicurezza-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (190-260)#camera-singola-bagno (95-130)#mezza-pensione-bagno (110-145)#pasto-cena (25-25)#pasto-pranzo (25-25)#pensione-completa-bagno (125-160)","camera-doppia-bagno (140-180)#camera-singola-bagno (70-90)#mezza-pensione-bagno (85-105)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (100-120)","","","","",""
"KYRIE","Alberghi","3 stelle","66","69","153","ISOLA SAN DOMINO","","71040","071026","Isole Tremiti","FG","","","0882463232 / 0882463365","0882463365","www.dominahome.it","kyrie@dominahome.it","01/05/2015-04/10/2015","Ristorante-Bar-Reception 24h-Facchinaggio-Cassaforte / cassette di sicurezza-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Telefono","camera-doppia-bagno (110-280)#camera-quadrupla-bagno (192-490)#camera-singola-bagno (55-140)#camera-tripla-bagno (151-385)#doppia-uso-singola-bagno (71-182)#mezza-pensione-bagno (60-145)#pasto-cena (27-27)#pasto-pranzo (27-27)#pensione-completa-bagno (65-150)#supplemento-servizio-incamera (5-5)#supplemento-tessera-club (35-35)","camera-doppia-bagno (0-0)#camera-quadrupla-bagno (0-0)#camera-singola-bagno (0-0)#camera-tripla-bagno (0-0)#doppia-uso-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)#supplemento-servizio-incamera (-)#supplemento-tessera-club (-)","","","","",""
"LA VELA","Alberghi","3 stelle","11","11","20","VIA VESPUCCI","","71040","071026","Isole Tremiti","FG","","","0882463254","","","info@hotel-lavela.it","01/04/2015-30/09/2015","Ristorante-Bar-Cassaforte / cassette di sicurezza","Riscaldamento-Frigobar-Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv","camera-doppia-bagno (90-130)#camera-singola-bagno (90-130)#mezza-pensione-bagno (90-130)","camera-doppia-bagno (55-85)#camera-singola-bagno (55-85)#mezza-pensione-bagno (55-85)","","","","",""
"LE VIOLE","Alberghi","3 stelle","9","9","18","VIA DELLE RONDINELLE","","71040","071026","Isole Tremiti","FG","","","0882463312","","www.leviole.com","info@leviole.com","","Ristorante-Bar-Punto ristoro-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv satellitare-Frigobar-Telefono","camera-doppia-bagno (85-85)#mezza-pensione-bagno (85-85)","camera-doppia-bagno (60-60)#mezza-pensione-bagno (60-60)","","","","",""
"SAN DOMINO","Alberghi","3 stelle","25","28","54","VIA MATTEOTTI","","71040","071026","Isole Tremiti","FG","","","0882463430","0882463221","www.hotelsandomino.com","hdomino@tiscalinet.it","01/01/2015-31/12/2015","Deposito bagagli-Cassaforte / cassette di sicurezza-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili-Ristorante-Bar","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Telefono","camera-doppia-bagno (170-170)#camera-singola-bagno (75-75)#mezza-pensione-bagno (100-100)#pasto-cena (25-25)#pasto-pranzo (25-25)#pensione-completa-bagno (110-110)","camera-doppia-bagno (98-98)#camera-singola-bagno (49-49)#mezza-pensione-bagno (58-58)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (65-65)","","","","",""
"OASI","Alberghi","1 stella","7","8","10","VIA CANTINA SPERIMENTALE","","71040","071026","Isole Tremiti","FG","","","0882463207","0882463270","www.hotelristoranteoasi.it","info@hotelristoranteoasi.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Riscaldamento","camera-doppia-bagno (120-160)#camera-singola-bagno (60-110)#mezza-pensione-bagno (80-100)#pasto-pranzo (25-35)","camera-doppia-bagno (80-130)#camera-singola-bagno (50-100)#mezza-pensione-bagno (60-90)#pasto-pranzo (0-0)","","","","",""
"APPIA PALACE","Alberghi","4 stelle","119","119","187","S.S.7 APPIA KM 633","","74016","073015","Massafra","TA","","","0998851501","","www.appiapalacehotel.altervista.org","motelappia@libero.it","","","","camera-doppia-bagno (100-120)#camera-singola-bagno (90-105)#mezza-pensione-bagno (90-95)#pasto-cena (25-25)#pasto-pranzo (25-25)#pensione-completa-bagno (95-100)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#mezza-pensione-bagno (-)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (-)#servizio-colazione (-)","","","","",""
"ALL PARADISE","Alloggi agrituristici","","7","7","14","CTR. STORNARA","","74025","073007","Ginosa","TA","40.452505846662035","16.829318522045924","0998279811","","","paradisogiusi@libero.it","01/01/2015-31/12/2015","Ristorante-Bar-Deposito bagagli-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento","camera-doppia-bagno (75-90)#mezza-pensione-bagno (55-65)#pasto-cena (0-25)#pasto-pranzo (0-35)","camera-doppia-bagno (50-60)#mezza-pensione-bagno (45-55)#pasto-cena (0-0)#pasto-pranzo (0-0)","","","","",""
"JONIO VACANZE","Case e appartamenti","","33","33","126","VIA MARE SPUMEGGIANTE","","74010","073003","Castellaneta","TA","40.467972","16.941845000000058","0998431015","0998430892","www.joniovacanze.it","joniovacanze.residen@libero.it","","Bagno privato-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Aria condizionata centralizzata-Rscaldamento centralizzato-Tv-Riscaldamento-Angolo cottura","ua-bilocale-sett (200-900)","ua-bilocale-sett (-)","","http://www.agenziapugliapromozione.it/portal/documents/ddl/863914/fileFoto2","","",""
"RESIDENCE PARADISE","Case e appartamenti","","12","12","54","VIA DELLE SIRENE","torre ovo","74020","073028","Torricella","TA","","","338.8829241 -099.4594542","0994594542","www.villeparadise.altervista.org","paradise.torreovo@libero.it","15/06/2015-15/09/2015","Bagno privato-Parco / Giardino","Angolo cottura","ua-bilocale-sett (600-1100)#ua-plurilocale-sett (720-1200)","ua-bilocale-sett (450-780)#ua-plurilocale-sett (550-870)","","","","",""
"AURORA ALBERGO","Alberghi","3 stelle","46","46","92","CONTRADA SPECCHIARICA","","74024","073012","Manduria","TA","","","0999728105","","www.aurora-hotel.net","info@aurora-hotel.net","","","","camera-doppia-bagno (70-99)#mezza-pensione-bagno (51-67,5)#pasto-cena (18-18)#pasto-pranzo (18-18)#servizio-colazione (-)","camera-doppia-bagno (50-60)#mezza-pensione-bagno (45-46)#pasto-cena (-)#pasto-pranzo (-)#servizio-colazione (-)","","","","",""
"VILLA ROBINIA","Bed & breakfast","","4","3","8","VIA DELLA ROBINIA","Marina di Chiatona","74016","073015","Massafra","TA","","","3808500000","","www.bebvillarobinia.it","info@bebvillarobinia.it","01/03/2015-31/10/2015","Reception 24h-Camere fumatori-Deposito bagagli-Bagno privato-Sala Tv-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura","camera-doppia (40-40)#camera-doppia-bagno (70-70)#camera-doppia-bagno-persona (35-35)#camera-doppia-persona (20-20)#camera-singola-bagno (40-40)#camera-singola-bagno-persona (40-40)#doppia-uso-singola (40-40)","camera-doppia (30-30)#camera-doppia-bagno (60-60)#camera-doppia-bagno-persona (30-30)#camera-doppia-persona (15-15)#camera-singola-bagno (40-40)#camera-singola-bagno-persona (40-40)#doppia-uso-singola (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/865858/fileFoto1","","","",""
"MASSERIA LABBRUTO","Bed & breakfast","","5","5","10","VIA MONTI DEL DUCA","","74015","073013","Martina Franca","TA","40.688851966249636","17.34145324677229","0804838553","","www.motolese.net","labbruto@motolese.net","01/01/2015-31/01/2015#21/02/2015-31/12/2015","Bagno privato-Parco / Giardino","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura","camera-doppia-bagno (30-250)","camera-doppia-bagno (30-250)","","","","",""
"MASSERIA LE MONACHE","Bed & breakfast","","4","4","10","CONTRADA MONTEDORO","","74020","073008","Grottaglie","TA","","","099.5901839","","web.tiscali.it/masserialemonache","masserialemonache@tiscali.it","15/03/2015-08/12/2015","Camere fumatori-Bagno privato-Parco / Giardino-Accesso animali piccola taglia","Angolo cottura","camera-doppia-bagno (70-80)#camera-quadrupla-bagno (95-110)#camera-singola-bagno (50-55)#camera-tripla-bagno (80-95)#doppia-uso-singola (40-55)","camera-doppia-bagno (50-65)#camera-quadrupla-bagno (85-95)#camera-singola-bagno (40-45)#camera-tripla-bagno (70-80)#doppia-uso-singola (-)","","","","",""
